position=<-19942, -39989> velocity=< 2,  4>
position=< 10204, -39993> velocity=<-1,  4>
position=<-29959,  50335> velocity=< 3, -5>
position=< 10166,  40299> velocity=<-1, -4>
position=<-29959, -39987> velocity=< 3,  4>
position=<-50068,  30266> velocity=< 5, -3>
position=< 20225,  10192> velocity=<-2, -1>
position=<-40024, -29950> velocity=< 4,  3>
position=<-19918,  40301> velocity=< 2, -4>
position=<-39992,  50339> velocity=< 4, -5>
position=< -9908, -39993> velocity=< 1,  4>
position=< 30248, -50029> velocity=<-3,  5>
position=< 40280, -39986> velocity=<-4,  4>
position=<-19956, -19920> velocity=< 2,  2>
position=< 40301, -50020> velocity=<-4,  5>
position=< 20200,  -9877> velocity=<-2,  1>
position=< 40275,  20227> velocity=<-4, -2>
position=<-29959, -29956> velocity=< 3,  3>
position=<-50056, -39991> velocity=< 5,  4>
position=< 50292,  50338> velocity=<-5, -5>
position=< -9880,  40303> velocity=< 1, -4>
position=< 50295, -19921> velocity=<-5,  2>
position=< 10205, -19921> velocity=<-1,  2>
position=<-40015, -29954> velocity=< 4,  3>
position=<-50056,  30259> velocity=< 5, -3>
position=< 10192, -19920> velocity=<-1,  2>
position=< 40306, -39993> velocity=<-4,  4>
position=< 40273, -39990> velocity=<-4,  4>
position=< 50336, -39992> velocity=<-5,  4>
position=< 40307,  10191> velocity=<-4, -1>
position=< 20195,  50331> velocity=<-2, -5>
position=< -9876,  40296> velocity=< 1, -4>
position=< -9896, -29957> velocity=< 1,  3>
position=< 20224, -19917> velocity=<-2,  2>
position=< 40292,  20227> velocity=<-4, -2>
position=<-19923, -39986> velocity=< 2,  4>
position=< 20233, -50025> velocity=<-2,  5>
position=< 40277, -50028> velocity=<-4,  5>
position=<-19920,  30263> velocity=< 2, -3>
position=< 30270, -39993> velocity=<-3,  4>
position=< 50348,  50340> velocity=<-5, -5>
position=< 40285, -39992> velocity=<-4,  4>
position=<-40003, -50020> velocity=< 4,  5>
position=<-19960, -39985> velocity=< 2,  4>
position=<-50027, -50025> velocity=< 5,  5>
position=< 50332,  40301> velocity=<-5, -4>
